"","state","horizon","target_end_date","reference_date","target","output_type","output_type_id","value","location"
"1","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.01,1,"02"
"2","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.01,1,"02"
"3","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.01,1,"02"
"4","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.01,1,"02"
"5","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.025,1,"02"
"6","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.025,2,"02"
"7","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.025,2,"02"
"8","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.025,2,"02"
"9","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.05,2,"02"
"10","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.05,2,"02"
"11","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.05,3,"02"
"12","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.05,3,"02"
"13","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.1,3,"02"
"14","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.1,3,"02"
"15","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.1,4,"02"
"16","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.1,4,"02"
"17","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.15,3,"02"
"18","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.15,4,"02"
"19","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.15,4,"02"
"20","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.15,5,"02"
"21","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.2,4,"02"
"22","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.2,4,"02"
